,City,Card_Type,Exp_Type,Gender,Amount,Year,Month
0,"Delhi, India",Gold,Bills,F,82475.0,2014,October
1,"Greater Mumbai, India",Platinum,Bills,F,32555.0,2014,August
2,"Bengaluru, India",Silver,Bills,F,101738.0,2014,August
3,"Greater Mumbai, India",Signature,Bills,F,123424.0,2014,April
4,"Bengaluru, India",Gold,Bills,F,171574.0,2015,May
5,"Delhi, India",Silver,Bills,F,100036.0,2014,September
6,"Delhi, India",Gold,Bills,F,143250.0,2015,February
7,"Greater Mumbai, India",Platinum,Bills,F,150980.0,2014,June
8,"Delhi, India",Silver,Bills,F,192247.0,2014,March
9,"Delhi, India",Platinum,Bills,F,67932.0,2014,September
10,"Delhi, India",Platinum,Bills,F,280061.0,2014,June
11,"Greater Mumbai, India",Signature,Bills,F,278036.0,2013,December
12,"Greater Mumbai, India",Gold,Bills,F,19226.0,2014,August
13,"Delhi, India",Signature,Bills,F,254359.0,2014,April
14,"Greater Mumbai, India",Signature,Bills,F,302834.0,2014,August
15,"Greater Mumbai, India",Platinum,Bills,F,647116.0,2014,November
16,"Greater Mumbai, India",Signature,Bills,F,421878.0,2014,June
17,"Greater Mumbai, India",Gold,Bills,F,986379.0,2015,March
18,"Greater Mumbai, India",Platinum,Bills,F,213047.0,2014,March
19,"Greater Mumbai, India",Platinum,Bills,F,735566.0,2013,November
20,"Delhi, India",Signature,Bills,F,366102.0,2014,April
21,"Delhi, India",Signature,Bills,F,809623.0,2014,July
22,"Greater Mumbai, India",Silver,Bills,F,467014.0,2015,March
23,"Ahmedabad, India",Gold,Bills,F,668568.0,2013,October
24,"Ahmedabad, India",Gold,Bills,F,339112.0,2014,March
25,"Delhi, India",Silver,Bills,F,622170.0,2014,September
26,"Bengaluru, India",Platinum,Bills,F,434427.0,2014,March
27,"Greater Mumbai, India",Signature,Bills,F,655846.0,2014,May
28,"Bengaluru, India",Platinum,Bills,F,987935.0,2015,January
29,"Delhi, India",Gold,Bills,F,702774.0,2015,April
30,"Bengaluru, India",Signature,Bills,F,225392.0,2014,July
31,"Greater Mumbai, India",Gold,Bills,F,296573.0,2015,February
32,"Ahmedabad, India",Platinum,Bills,F,227702.0,2013,November
33,"Ahmedabad, India",Gold,Bills,F,864090.0,2014,November
34,"Ahmedabad, India",Signature,Bills,F,440605.0,2014,September
35,"Ahmedabad, India",Platinum,Bills,F,954660.0,2015,March
36,"Ahmedabad, India",Signature,Bills,F,255577.0,2014,January
37,"Ahmedabad, India",Silver,Bills,F,337352.0,2014,July
38,"Ahmedabad, India",Platinum,Bills,F,660244.0,2014,February
39,"Delhi, India",Silver,Bills,F,401351.0,2015,February
40,"Delhi, India",Platinum,Bills,F,678842.0,2013,October
41,"Delhi, India",Gold,Bills,F,478861.0,2014,May
42,"Bengaluru, India",Platinum,Bills,F,804938.0,2014,November
43,"Delhi, India",Silver,Bills,F,888341.0,2015,January
44,"Bengaluru, India",Platinum,Bills,F,262414.0,2014,April
45,"Bengaluru, India",Gold,Bills,F,249353.0,2014,September
46,"Ahmedabad, India",Gold,Bills,F,892016.0,2013,December
47,"Ahmedabad, India",Platinum,Bills,F,313626.0,2013,November
48,"Greater Mumbai, India",Gold,Bills,F,314366.0,2014,June
49,"Greater Mumbai, India",Signature,Bills,F,551340.0,2014,April
50,"Delhi, India",Signature,Bills,F,735037.0,2013,October
51,"Greater Mumbai, India",Platinum,Bills,F,574023.0,2014,December
52,"Ahmedabad, India",Signature,Bills,F,402300.0,2013,December
53,"Delhi, India",Signature,Bills,F,733125.0,2013,December
54,"Greater Mumbai, India",Signature,Bills,F,545977.0,2014,February
55,"Bengaluru, India",Silver,Bills,F,371572.0,2015,May
56,"Ahmedabad, India",Signature,Bills,F,326283.0,2015,January
57,"Delhi, India",Platinum,Bills,F,279051.0,2014,December
58,"Delhi, India",Platinum,Bills,F,900101.0,2013,October
59,"Ahmedabad, India",Silver,Bills,F,545286.0,2014,April
60,"Delhi, India",Platinum,Bills,F,722587.0,2015,January
61,"Bengaluru, India",Platinum,Bills,F,411062.0,2014,March
62,"Delhi, India",Platinum,Bills,F,660910.0,2014,February
63,"Greater Mumbai, India",Signature,Bills,F,557370.0,2013,October
64,"Greater Mumbai, India",Platinum,Bills,F,549794.0,2014,June
65,"Delhi, India",Platinum,Bills,F,340133.0,2014,January
66,"Bengaluru, India",Gold,Bills,F,265417.0,2013,November
67,"Greater Mumbai, India",Platinum,Bills,F,358185.0,2013,December
68,"Greater Mumbai, India",Gold,Bills,F,991685.0,2014,March
69,"Greater Mumbai, India",Gold,Bills,F,533762.0,2015,January
70,"Greater Mumbai, India",Gold,Bills,F,829742.0,2014,May
71,"Delhi, India",Silver,Bills,F,441527.0,2014,February
72,"Delhi, India",Signature,Bills,F,550782.0,2013,October
73,"Greater Mumbai, India",Platinum,Bills,F,835872.0,2014,June
74,"Ahmedabad, India",Silver,Bills,F,540497.0,2014,August
75,"Greater Mumbai, India",Platinum,Bills,F,525977.0,2015,April
76,"Greater Mumbai, India",Gold,Bills,F,789393.0,2014,June
77,"Greater Mumbai, India",Platinum,Bills,F,689478.0,2015,February
78,"Bengaluru, India",Silver,Bills,F,499079.0,2014,March
79,"Ahmedabad, India",Platinum,Bills,F,665107.0,2014,April
80,"Greater Mumbai, India",Platinum,Bills,F,998077.0,2014,October
81,"Ahmedabad, India",Silver,Bills,F,934205.0,2014,February
82,"Bengaluru, India",Platinum,Bills,F,823426.0,2015,April
83,"Ahmedabad, India",Signature,Bills,F,282910.0,2015,January
84,"Bengaluru, India",Gold,Bills,F,418675.0,2014,March
85,"Ahmedabad, India",Silver,Bills,F,804949.0,2015,February
86,"Bengaluru, India",Gold,Bills,F,686601.0,2015,February
87,"Greater Mumbai, India",Silver,Bills,F,561220.0,2014,February
88,"Greater Mumbai, India",Gold,Bills,F,762534.0,2015,May
89,"Bengaluru, India",Gold,Bills,F,327947.0,2014,January
90,"Bengaluru, India",Gold,Bills,F,492986.0,2014,April
91,"Delhi, India",Signature,Bills,F,369237.0,2015,February
92,"Bengaluru, India",Platinum,Bills,F,983839.0,2015,January
93,"Ahmedabad, India",Gold,Bills,F,776716.0,2014,November
94,"Greater Mumbai, India",Gold,Bills,F,664632.0,2014,July
95,"Bengaluru, India",Gold,Bills,F,466727.0,2015,February
96,"Bengaluru, India",Gold,Bills,F,896384.0,2013,November
97,"Delhi, India",Signature,Bills,F,712001.0,2013,December
98,"Greater Mumbai, India",Silver,Bills,F,246865.0,2014,August
99,"Greater Mumbai, India",Signature,Bills,F,858729.0,2015,January
100,"Delhi, India",Platinum,Bills,F,581882.0,2015,April
101,"Greater Mumbai, India",Signature,Bills,F,646426.0,2015,February
102,"Bengaluru, India",Silver,Bills,F,687088.0,2015,March
103,"Bengaluru, India",Signature,Bills,F,973026.0,2013,October
104,"Greater Mumbai, India",Silver,Bills,F,944398.0,2015,April
105,"Ahmedabad, India",Platinum,Bills,F,414422.0,2014,November
106,"Bengaluru, India",Signature,Bills,F,408503.0,2015,February
107,"Bengaluru, India",Signature,Bills,F,984466.0,2014,March
108,"Greater Mumbai, India",Gold,Bills,F,919997.0,2014,March
109,"Greater Mumbai, India",Signature,Bills,F,535101.0,2013,November
110,"Greater Mumbai, India",Signature,Bills,F,978301.0,2013,October
111,"Greater Mumbai, India",Gold,Bills,F,880406.0,2014,September
112,"Ahmedabad, India",Silver,Bills,F,447241.0,2014,November
113,"Bengaluru, India",Platinum,Bills,F,382191.0,2013,October
114,"Bengaluru, India",Silver,Bills,F,775859.0,2015,May
115,"Bengaluru, India",Platinum,Bills,F,832637.0,2014,March
116,"Bengaluru, India",Platinum,Bills,F,458526.0,2015,April
117,"Ahmedabad, India",Signature,Bills,F,440995.0,2015,April
